"subj","wordNo","readTimes","word","item","quant","pred","itemtype"
"subj10",6,864,"two","filler-item18",NA,NA,"filler"
"subj10",7,1078,"villages","filler-item18",NA,NA,"filler"
"subj10",8,1148,"last","filler-item18",NA,NA,"filler"
"subj10",9,764,"year.","filler-item18",NA,NA,"filler"
"subj10",1,1081,"The","filler-item2",NA,NA,"filler"
"subj10",2,743,"burglar","filler-item2",NA,NA,"filler"
"subj10",3,859,"stole","filler-item2",NA,NA,"filler"
"subj10",4,754,"the","filler-item2",NA,NA,"filler"
"subj10",5,829,"Picasso","filler-item2",NA,NA,"filler"
"subj10",6,569,"painting","filler-item2",NA,NA,"filler"
"subj10",7,773,"two","filler-item2",NA,NA,"filler"
"subj10",8,669,"days","filler-item2",NA,NA,"filler"
"subj10",9,703,"ago.","filler-item2",NA,NA,"filler"
"subj10",1,834,"The","filler-item27",NA,NA,"filler"
"subj10",2,1359,"speculators","filler-item27",NA,NA,"filler"
"subj10",3,869,"bled","filler-item27",NA,NA,"filler"
"subj10",4,814,"their","filler-item27",NA,NA,"filler"
"subj10",5,1094,"clients","filler-item27",NA,NA,"filler"
"subj10",6,914,"dry","filler-item27",NA,NA,"filler"
"subj10",7,884,"before","filler-item27",NA,NA,"filler"
"subj10",8,833,"the","filler-item27",NA,NA,"filler"
"subj10",9,953,"market","filler-item27",NA,NA,"filler"
"subj10",10,813,"crashed.","filler-item27",NA,NA,"filler"
"subj10",1,1068,"A","filler-item26",NA,NA,"filler"
"subj10",2,1018,"young","filler-item26",NA,NA,"filler"
"subj10",3,939,"boy","filler-item26",NA,NA,"filler"
"subj10",4,944,"scout","filler-item26",NA,NA,"filler"
"subj10",5,784,"caught","filler-item26",NA,NA,"filler"
"subj10",6,795,"a","filler-item26",NA,NA,"filler"
"subj10",7,519,"fish","filler-item26",NA,NA,"filler"
"subj10",8,634,"and","filler-item26",NA,NA,"filler"
"subj10",9,700,"served","filler-item26",NA,NA,"filler"
"subj10",10,634,"it","filler-item26",NA,NA,"filler"
"subj10",11,860,"for","filler-item26",NA,NA,"filler"
"subj10",12,693,"dinner","filler-item26",NA,NA,"filler"
"subj10",13,804,"the","filler-item26",NA,NA,"filler"
"subj10",14,848,"same","filler-item26",NA,NA,"filler"
"subj10",15,849,"day.","filler-item26",NA,NA,"filler"
"subj10",1,922,"The","filler-item4",NA,NA,"filler"
"subj10",2,806,"gardener","filler-item4",NA,NA,"filler"
"subj10",3,919,"grew","filler-item4",NA,NA,"filler"
"subj10",4,659,"the","filler-item4",NA,NA,"filler"
"subj10",5,679,"vegetables","filler-item4",NA,NA,"filler"
"subj10",6,654,"plump","filler-item4",NA,NA,"filler"
"subj10",7,724,"every","filler-item4",NA,NA,"filler"
"subj10",8,655,"season.","filler-item4",NA,NA,"filler"
"subj10",1,826,"Every","filler-item11",NA,NA,"filler"
"subj10",2,910,"violin","filler-item11",NA,NA,"filler"
"subj10",3,858,"in","filler-item11",NA,NA,"filler"
"subj10",4,805,"this","filler-item11",NA,NA,"filler"
"subj10",5,730,"orchestra","filler-item11",NA,NA,"filler"
"subj10",6,675,"is","filler-item11",NA,NA,"filler"
"subj10",7,768,"made","filler-item11",NA,NA,"filler"
"subj10",8,749,"by","filler-item11",NA,NA,"filler"
"subj10",9,774,"European","filler-item11",NA,NA,"filler"
"subj10",10,609,"craftsmen.","filler-item11",NA,NA,"filler"
"subj10",1,840,"The","filler-item5",NA,NA,"filler"
"subj10",2,690,"nannies","filler-item5",NA,NA,"filler"
"subj10",3,774,"punished","filler-item5",NA,NA,"filler"
"subj10",4,924,"each","filler-item5",NA,NA,"filler"
"subj10",5,1063,"hyperactive","filler-item5",NA,NA,"filler"
"subj10",6,874,"child","filler-item5",NA,NA,"filler"
"subj10",7,719,"yesterday.","filler-item5",NA,NA,"filler"
"subj10",1,920,"The","filler-item12",NA,NA,"filler"
"subj10",2,645,"mother","filler-item12",NA,NA,"filler"
"subj10",3,789,"cat","filler-item12",NA,NA,"filler"
"subj10",4,759,"licked","filler-item12",NA,NA,"filler"
"subj10",5,489,"the","filler-item12",NA,NA,"filler"
"subj10",6,555,"kittens","filler-item12",NA,NA,"filler"
"subj10",7,539,"clean","filler-item12",NA,NA,"filler"
"subj10",8,510,"very","filler-item12",NA,NA,"filler"
"subj10",9,505,"often.","filler-item12",NA,NA,"filler"
"subj10",1,719,"No","filler-item14",NA,NA,"filler"
"subj10",2,550,"soft","filler-item14",NA,NA,"filler"
"subj10",3,574,"drink","filler-item14",NA,NA,"filler"
"subj10",4,580,"commercial","filler-item14",NA,NA,"filler"
"subj10",5,611,"made","filler-item14",NA,NA,"filler"
"subj10",6,489,"a","filler-item14",NA,NA,"filler"
"subj10",7,480,"big","filler-item14",NA,NA,"filler"
"subj10",8,533,"impression.","filler-item14",NA,NA,"filler"
"subj10",1,680,"The","filler-item6",NA,NA,"filler"
"subj10",2,494,"surgeons","filler-item6",NA,NA,"filler"
"subj10",3,455,"did","filler-item6",NA,NA,"filler"
"subj10",4,435,"the","filler-item6",NA,NA,"filler"
"subj10",5,459,"operation","filler-item6",NA,NA,"filler"
"subj10",6,590,"early","filler-item6",NA,NA,"filler"
"subj10",7,469,"in","filler-item6",NA,NA,"filler"
"subj10",8,485,"the","filler-item6",NA,NA,"filler"
"subj10",9,539,"morning.","filler-item6",NA,NA,"filler"
"subj10",1,809,"An","filler-item17",NA,NA,"filler"
"subj10",2,740,"archer","filler-item17",NA,NA,"filler"
"subj10",3,1110,"took","filler-item17",NA,NA,"filler"
"subj10",4,785,"out","filler-item17",NA,NA,"filler"
"subj10",5,605,"his","filler-item17",NA,NA,"filler"
"subj10",6,634,"bow","filler-item17",NA,NA,"filler"
"subj10",7,690,"and","filler-item17",NA,NA,"filler"
"subj10",8,644,"shot","filler-item17",NA,NA,"filler"
"subj10",9,500,"the","filler-item17",NA,NA,"filler"
"subj10",10,481,"bird","filler-item17",NA,NA,"filler"
"subj10",11,409,"dead.","filler-item17",NA,NA,"filler"
"subj10",1,494,"The","filler-item23",NA,NA,"filler"
"subj10",2,796,"ballerina","filler-item23",NA,NA,"filler"
"subj10",3,580,"will","filler-item23",NA,NA,"filler"
"subj10",4,734,"train","filler-item23",NA,NA,"filler"
"subj10",5,740,"with","filler-item23",NA,NA,"filler"
"subj10",6,614,"a","filler-item23",NA,NA,"filler"
"subj10",7,519,"French","filler-item23",NA,NA,"filler"
"subj10",8,495,"master","filler-item23",NA,NA,"filler"
"subj10",9,470,"next","filler-item23",NA,NA,"filler"
"subj10",10,414,"year.","filler-item23",NA,NA,"filler"
"subj10",1,870,"An","filler-item25",NA,NA,"filler"
"subj10",2,676,"online","filler-item25",NA,NA,"filler"
"subj10",3,520,"bookstore","filler-item25",NA,NA,"filler"
"subj10",4,595,"decided","filler-item25",NA,NA,"filler"
"subj10",5,480,"to","filler-item25",NA,NA,"filler"
"subj10",6,574,"ship","filler-item25",NA,NA,"filler"
